manual_username,matched_user_id,matched_username,match_type,confidence
Aka-Gitsune,426911207954448395,Aka-Gitsune,exact,1.0
BASIC,211750261922725888,BASIC,exact,1.0
Chris Venus Angel,349439519013076992,Chris Venus Angel,exact,1.0
CLAW504,464113589385429060,claw504,exact,1.0
Daniel Might,831383622199541790,Daniel Might,exact,1.0
Embryonic,217069029620318208,Embryonic,exact,1.0
FOXY,233815839806193664,FOXY,exact,1.0
HotaruChim,700373107843661841,hotaruchim,exact,1.0
Hunnibunny,183720544120602624,hunniibunny,fuzzy,0.9523809523809523
Jettybandit,333773755648311296,jettybandit,exact,1.0
Liv A Black Lung Creechur,760185793128955925,"Liv,A Black Lung Creechur",fuzzy,0.96
LoveUniversal7,521111253473558529,loveuniversal7,exact,1.0
Minz,259769406819663873,Minz,exact,1.0
Misaki (みさき),1189410645112795176,Misaki (みさき),exact,1.0
Mitey,103767981187694592,mitey,exact,1.0
MrMaximus97,264292721542430720,mrmaximus97,exact,1.0
Moonstress,359819140263051265,Moonstress,exact,1.0
Queen_Of_Hearts,225071551148589056,queen_of_hearts,exact,1.0
roguewitxh,686914103804952589,roguewitxh,exact,1.0
Sakari,561561733915869194,Sakari,exact,1.0
TouchMeSama,758734374119145504,TouchMeSama,exact,1.0
UltraSharkAretemente,488866790039093249,UltraSharkAretemente,exact,1.0
Xanori,150338531582148608,Xanori,exact,1.0
Lia,278217168489807873,Lia,exact,1.0
beta / Lis,397830659235774483,be:ta / Lis,fuzzy,0.9523809523809523
theblindprophet,428436921761398784,theblindprophet,exact,1.0
Astrild,699933716415512616,astrild,exact,1.0
Chimera IX,258653139048071178,Chimera IX,exact,1.0
Gregorif,247019280816799744,gregorif,exact,1.0
Judgbin,246852491659051010,judgbin,exact,1.0
LunAqua,413345571500458012,lunaqua,exact,1.0
MISCellaneous Bowl,429231435631689728,MIScellaneous Bowl,exact,1.0
Sqveeb,708145548976455680,sqveeb,exact,1.0
SmallFry3694,387399668008484864,smallfry3694,exact,1.0
neon snipe,114999108996956165,neon snipe,exact,1.0
Defiant,384149389809025024,Defiant,exact,1.0
G-Catz,192761893239128064,G-Catz,exact,1.0
GG4RR3TT,939618981797572640,gg4rr3tt,exact,1.0
Nekoyori,410270160406970369,nekoyori,exact,1.0
ShroomyBliss,1099544873364889732,ShroomyBliss,exact,1.0
Ydayhawk,1063573805160747068,.dayhawk,fuzzy,0.875
Jack Slothington,230195302395543562,Jack Slothington,exact,1.0
KimacoLee,1232382403331231828,kimacolee,exact,1.0
Lv99gamingWiz,360523179225120778,lv99gamingwiz,exact,1.0
Midnight,1258959482713669672,Midnight,exact,1.0
MrBanana,277192063702007821,mrbanana,exact,1.0
paleshape,1090279604142481540,paleshape,exact,1.0
ultraSharkAretemente,488866790039093249,UltraSharkAretemente,exact,1.0
whiteswan,435298328628953089,whiteswan,exact,1.0
FootC137,946756867160436756,FootC137,exact,1.0
Blackbelt33,283102779772502016,blackbelt33,exact,1.0
FireBee (aka Grey),711612876745343018,🪔FireBee🪔 (aka Grey),fuzzy,0.9473684210526315
Miscellaneous Bowl,429231435631689728,MIScellaneous Bowl,exact,1.0
Moon,493020246580658177,Moon,exact,1.0
Neko Bro,919914140670234634,Neko Bro,exact,1.0
itzspookey,343785972099448834,itzspookey,exact,1.0
BluBerry,1330558572584632333,bluberryyt,fuzzy,0.8888888888888888
kitpup,261014673678270464,kitpup,exact,1.0
Darth Ronin,806707581560946698,Darth Ronin,exact,1.0
Funpredictable,348095816881274881,funpredictable,exact,1.0
MagykRose,134603553900593152,magykrose,exact,1.0
roguewithx,686914103804952589,roguewitxh,fuzzy,0.9
Toney,250128909167755264,Toney,exact,1.0
GHOSTNET,375127938288582659,GHOSTNET,exact,1.0
WillBros,191322834599936001,WillBros,exact,1.0
sillybit,510003485417275393,sillybit,exact,1.0
