role_id,role_name,member_count,created_at
1392214485250347158,Photography Competition,0,2025-07-08T18:43:19.378000+00:00
1392213888522518670,Sociology,0,2025-07-08T18:40:57.107000+00:00
1392213840225112155,Music Production,0,2025-07-08T18:40:45.592000+00:00
1392213565519167548,Freestyle Dance,0,2025-07-08T18:39:40.097000+00:00
1392213330457923594,Beyond Dance,0,2025-07-08T18:38:44.054000+00:00
1392213286644219994,VR Fundamentals,0,2025-07-08T18:38:33.608000+00:00
1392212893100933352,Art Classes,0,2025-07-08T18:36:59.780000+00:00
1392212045323305020,Portal Posse,0,2025-07-08T18:33:37.654000+00:00
1392211714308837507,Podcasts,0,2025-07-08T18:32:18.734000+00:00
1392211365455724605,Meditation,0,2025-07-08T18:30:55.561000+00:00
1392211204864344175,Pole Dancing,0,2025-07-08T18:30:17.273000+00:00
1392211149595869254,GOGO Dance,0,2025-07-08T18:30:04.096000+00:00
1392210986387116173,ASL Class,0,2025-07-08T18:29:25.184000+00:00
1392210886487445655,Coding,0,2025-07-08T18:29:01.366000+00:00
1392210837330067576,Blender/Unity,0,2025-07-08T18:28:49.646000+00:00
1392210777888526366,DJ Class,2,2025-07-08T18:28:35.474000+00:00
1392210704140079285,Breakin',0,2025-07-08T18:28:17.891000+00:00
1392210655318114415,Wotagei,0,2025-07-08T18:28:06.251000+00:00
1392210566407524382,YOGA,0,2025-07-08T18:27:45.053000+00:00
1392210510971277453,Vocal Class,0,2025-07-08T18:27:31.836000+00:00
1392210454822260737,Esoterics,0,2025-07-08T18:27:18.449000+00:00
1392210393224450139,LOFT,0,2025-07-08T18:27:03.763000+00:00
1392210349956010075,CHILL,0,2025-07-08T18:26:53.447000+00:00
1392210291437080646,VIBE,0,2025-07-08T18:26:39.495000+00:00
1392210170439929877,Photography,0,2025-07-08T18:26:10.647000+00:00
1392210116924674212,Bachata,0,2025-07-08T18:25:57.888000+00:00
1392210075950649415,Waltz,0,2025-07-08T18:25:48.119000+00:00
1392209818311196803,Robot Dance,0,2025-07-08T18:24:46.693000+00:00
1392209677282185446,Animation Dance,0,2025-07-08T18:24:13.069000+00:00
1392209391872250027,House Dance,0,2025-07-08T18:23:05.022000+00:00
1210262400985727066,Community Manager,0,2024-02-22T16:30:41.983000+00:00
726369852616474665,Dancer,4,2020-06-27T09:34:28.163000+00:00
1163047310889062420,DJ,4,2023-10-15T09:34:47.290000+00:00
